Nome,Ano_Nasc,Pais,Campo_Principal,link
William Edward Story,1850.0,Massachusetts,Mathematics,https://en.wikipedia.org/wiki/William_Edward_Story
Herbert S. Green,1920.0,UK,Physicist,https://en.wikipedia.org/wiki/Herbert_S._Green
George Smoot,1945.0,U.S.,Physics,https://en.wikipedia.org/wiki/George_Smoot
Cathleen Synge Morawetz,1923.0,Canada,Mathematics,https://en.wikipedia.org/wiki/Cathleen_Synge_Morawetz
Robert F. Christy,1916.0,Canada,Physics,https://en.wikipedia.org/wiki/Robert_Christy
Jerome Isaac Friedman,1930.0,U.S.,Physics,https://en.wikipedia.org/wiki/Jerome_Isaac_Friedman
Clarence Raymond Adams,1898.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/Clarence_Raymond_Adams
Karl Schwarzschild,1873.0,German Empire,Physics,https://en.wikipedia.org/wiki/Karl_Schwarzschild
Hassler Whitney,1907.0,US,Mathematics,https://en.wikipedia.org/wiki/Hassler_Whitney
Woldemar Voigt,1850.0,Kingdom of Saxony,Physicist,https://en.wikipedia.org/wiki/Woldemar_Voigt
Young Suh Kim,1935.0,North Korea,Physicist,https://en.wikipedia.org/wiki/Young_Suh_Kim
Gary Gibbons,1946.0,England,Euclidean quantum gravity,https://en.wikipedia.org/wiki/Gary_Gibbons
Ettore Majorana,1906.0,Italy,Particle physics,https://en.wikipedia.org/wiki/Ettore_Majorana
Carl S. Herz,1930.0,USA,Mathematics  Harmonic Analysis,https://en.wikipedia.org/wiki/Carl_S._Herz
Manny Lehman (computer scientist),1925.0,Born(1925-01-24)24 January 1925Germany,Mathematics  Harmonic Analysis,https://en.wikipedia.org/wiki/Meir_M._Lehman
August Weismann,1834.0,Germany,Mathematics  Harmonic Analysis,https://en.wikipedia.org/wiki/August_Weismann
Wallie Abraham Hurwitz,1886.0,US,Mathematics,https://en.wikipedia.org/wiki/Wallie_Abraham_Hurwitz
Władysław Orlicz,1903.0,Austria-Hungary,Mathematics,https://en.wikipedia.org/wiki/W%C5%82adys%C5%82aw_Orlicz
